docid,author,realname,pseudonym,gender,nationality,authordate,inferreddate,firstpub,latestcomp,allcopiesofwork,copiesin25yrs,enumcron,imprint,genres,subjects,category,shorttitle
uiuo.ark+=13960=t8pc3pr08,Fuller,,,,,,1800,,1800,2,2,v.2,London;Printed for G.G. and J. Robinson;1800.,,,,The son of Ethelwolf
nyp.33433074951942,"Dallas, Robert Charles",,,,,1754-1824.,1804,,1804,4,4,v. 1,London;Printed for T. N. Longman;O. Rees;1804.,NotFiction,,,Aubrey : a novel
uiuo.ark+=13960=t1pg2cj2j,"Edgeworth, Maria",,,,,1767-1849.,1804,,1804,13,6,v.1,"London;Printed for J. Johnson, St. Paul's Church-yard, by C. Mercier and Co.;1804.",Fiction|NotFiction,"Juvenile literature|X823ED3PO|Children's stories, English|Conduct of life",,Popular tales
njp.32101069165098,"Burney, Sarah Harriet",,,,,1772-1844.,1808,,1808,9,9,vol. 2,London;Printed for G. Wilkie and J. Robinson;1808.,NotFiction,,,Geraldine Fauconberg
njp.32101068177995,"Hervey, Elizabeth",,,,,fl. 1788-1814.,1814,,1814,8,8,vol.2,London;H. Colburn;1814.,Fiction,,,"Amabel; or, Memoirs of a woman of fashion"
njp.32101062933468,"West, (Jane), Mrs",,,,,1758-1852.,1814,,1814,3,3,v. 4,"London;Longman, Hurst, Rees, Orme, and Brown;1814.",Fiction,,,Alicia de Lacy : an historical romance
njp.32101067631307,"the elder, | pseud. Brown, Thomas",,,,,,1818,,1818,3,3,v.2,London;Printed for the author;1818.,Fiction,,,"Bath : a satirical novel, with portraits"
uiuo.ark+=13960=t6543bw1s,"Smith, Charlotte Turner",,,,,1749-1806.,1821,,1806,3,3,v.2,London;Printed for W. Wright;1821.,,,,The republican's mistress;
njp.32101067640746,"Moore, Alicia Radford",,,,,,1821,,1821,4,4,v.3,"London;Baldwin, Cradock, and Joy;1821.",Fiction,,,"The sisters: a novel, in four volumes"
nyp.33433074915020,"Morier, James Justinian",,,,,1780?-1849.,1824,,1824,25,13,v. 2,Philadelphia;A. Small;1824.,Bibliographies|Fiction|NotFiction,English fiction,,"The adventures of Hajji Baba, of Ispahan"
wu.89087923348,"Banim, John",,,,,1798-1842.,1826,,1826,6,6,v.2,London;H. Colburn;1826.,Fiction,Fiction,,"Tales by the O'Hara family : second series : comprising the Nowlans, and Peter of the castle"
wu.89101370583,"Smith, Horace",,,,,1779-1849.,1826,,1826,16,16,v.1,London;Henry Colburn;1826.,Fiction|NotFiction,"Commonwealth and Protectorate, 1649-1660|Fiction|History",,"Brambletye house : or, Cavaliers and roundheads : a novel"
uiuo.ark+=13960=t5w66tq0x,"Eaton, Charlotte A",,,,,,1827,,1827,3,3,v.3,Edinburgh;W. Blackwood;London;T. Cadell;1827.,,Rome (Italy)|Italy|Fiction|1789-1815|History,,Vittoria Colonna
njp.32101068972866,"Lauder, Thomas Dick, Sir",,,,,1784-1848.,1827,,1827,2,2,vol.2,Edinburgh|Printed for Cadell|1827.,Fiction,,,The Wolfe of Badenoch : a historical romance of the fourteenth century
uc2.ark+=13960=t3cz3724j,"Normanby, Constantine Henry Phipps",,,,,,1828,,1828,2,2,v.1,London;H. Colburn;1828.,,,,Yes and no
njp.32101067707628,"Beazley, Samuel",,,,,1786-1851.,1828,,1828,6,6,vol.1,London;H. Colburn;1828.,Fiction|NotFiction,"Lytton, Edward Bulwer Lytton|1803-1873|supposed author|Baron",,The roué
uc1.b249642,"Grattan, Thomas Colley",,,,,1792-1864.,1831,,1831,5,5,v. 2,London;H. Colburn and R. Bentley;1831.,,,,Jacqueline of Holland
nyp.33433075764427,"Warren, Samuel",,,,,1807-1877.,1831,,1831,5,5,v. 1,New York;J. & J. Harper;1831.,Fiction|NotFiction,,,Affecting scenes : being passages from the diary of a physician
